Id,TimeToEnd,DistanceToRadar,Composite,HybridScan,HydrometeorType,Kdp,RR1,RR2,RR3,RadarQualityIndex,Reflectivity,ReflectivityQC,RhoHV,Velocity,Zdr,LogWaterVolume,MassWeightedMean,MassWeightedSD,Expected
577,51.0 47.0 38.0 34.0 30.0 26.0 22.0 18.0 14.0 11.0 7.0 3.0 9.0 9.0 4.0,83.0 83.0 83.0 83.0 83.0 83.0 83.0 83.0 83.0 83.0 83.0 83.0 56.0 98.0 98.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 28.0 32.0 33.0 -99900.0 27.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 11.5 30.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 6.0 8.0 8.0 4.0 8.0 8.0 9.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1095 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 2.71761 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 4.16426e-05 -99900.0,0.116083 0.0233937 0.0550116 0.174227 0.0672114 0.0469844 0.240666 0.0308192 0.0869649 0.0588632 1.0 0.143454 999.0 0.837226 1.0,10.5 10.0 8.5 8.5 18.0 10.0 19.0 13.0 13.5 13.5 27.5 13.0 25.5 27.0 25.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 27.5 -99900.0 -99900.0 27.0 -99900.0,1.025 0.801667 0.841667 0.925 0.898333 0.868333 0.961667 0.805 1.015 0.785 0.998333 0.911667 -99903.0 1.00167 1.015,-6.5 -99900.0 -9.0 -10.0 -1.5 -9.0 -7.5 -7.0 -7.5 -8.5 -5.0 -9.0 -99903.0 14.0 13.5,7.875 5.875 3.125 5.3125 5.25 3.4375 3.25 4.625 5.625 4.625 3.375 2.8125 -99903.0 0.25 2.0,nan nan nan nan nan nan nan nan nan nan -12.2041301965 nan nan -10.0840350599 nan,nan nan nan nan nan nan nan nan nan nan 3.20369553499 nan nan 1.68556209535 nan,nan nan nan nan nan nan nan nan nan nan 1.24205192281 nan nan 0.645709820172 nan,0.0
578,52.0 48.0 45.0 41.0 37.0 34.0 30.0 27.0 23.0 20.0 16.0 13.0 9.0 6.0 2.0 50.0 46.0 42.0 39.0 35.0 32.0 28.0 24.0 21.0 17.0 13.0 10.0 6.0 3.0,30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 30.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0 7.0,16.5 23.5 25.5 27.0 33.0 37.0 28.0 26.5 28.5 29.0 25.5 25.5 25.5 19.5 16.5 15.0 33.0 25.5 23.5 25.0 22.0 24.5 17.0 22.5 20.5 18.0 -99900.0 -99900.0 -99900.0,15.5 18.5 31.5 30.0 34.5 29.0 27.5 24.5 23.5 27.0 28.5 25.5 25.5 24.5 21.0 25.0 33.0 35.5 30.0 29.5 27.0 30.5 21.0 25.5 27.0 -99900.0 17.5 -99900.0 -99900.0,9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 9.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.134126 0.596736 0.805042 1.61895 3.70613 4.35648 1.78977 1.64312 1.77232 1.75082 1.26514 0.972733 1.19934 0.428985 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.141351 0.493977 0.915066 1.80336 4.29836 4.62727 1.87261 1.71713 1.47538 1.75955 1.22214 1.00953 0.951678 0.370697 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-2.58793 5.38646 -3.41096 8.98493 -5.33315 6.12027 9.87703 4.20355 -8.02656 10.9063 11.6851 10.1069 2.35358 -1.32421 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.874538 0.822494 0.949396 0.969466 0.97036 0.983254 0.833093 0.962402 0.903076 0.95685 0.963066 0.966418 0.886355 0.895175 0.552524 0.271348 0.97994 0.961872 0.955087 0.536335 0.928232 0.340628 0.455094 0.499753 0.0514443 0.334195 0.04792 0.172121 999.0,16.5 23.5 25.5 27.0 33.0 37.0 27.5 26.5 28.5 29.0 25.5 25.0 25.5 18.5 16.5 15.0 33.0 25.5 23.5 25.0 22.0 24.5 14.0 22.5 20.5 18.0 13.5 14.5 13.5,16.5 23.5 25.5 27.0 33.0 37.0 27.5 26.5 28.5 29.0 25.5 25.0 25.5 18.5 16.5 15.0 33.0 25.5 23.5 25.0 22.0 24.5 14.0 22.5 20.5 18.0 -99900.0 -99900.0 -99900.0,1.035 0.998333 1.00167 0.998333 1.00167 0.998333 0.968333 0.975 0.958333 0.995 0.991667 0.991667 0.955 1.00833 1.03833 0.958333 0.998333 0.988333 0.968333 0.998333 0.985 0.948333 0.935 0.991667 0.635 0.845 0.208333 0.998333 1.05167,3.0 3.0 4.0 4.5 6.5 5.5 4.5 5.5 4.5 6.0 4.5 7.0 6.5 7.5 5.5 7.5 5.0 4.5 6.5 5.5 7.0 7.0 9.0 8.5 7.5 9.0 7.0 -99901.0 -99900.0,0.625 0.25 0.125 0.25 1.0625 0.9375 1.875 0.4375 0.875 1.0 -0.3125 0.3125 2.125 0.9375 -0.8125 1.125 0.25 0.8125 -0.8125 0.75 0.375 1.625 -1.1875 1.375 0.5 -0.75 3.4375 -4.875 2.625,-12.7038202569 -10.8111886345 -10.357250395 -10.0840350599 -9.29278478872 -8.27359703031 -11.130448655 -10.249640843 -10.1617180968 -10.1499943197 -10.057037396 -10.6046492967 -11.7897485537 -12.4116125377 -11.6924116316 -13.4685985925 -8.67376561162 -10.8026241014 -10.0648116563 -10.8592523895 -11.3656278016 -11.6297885028 -11.953284647 -11.9669955992 -11.7756241172 -11.3706038945 nan nan nan,1.78060653159 1.66097549469 1.65596325161 1.68556209535 2.00280353678 1.97345797947 2.36233160774 1.71188655925 1.91273594125 1.96184321916 1.51144706519 1.732413623 2.49671093528 1.86757192775 1.36852960236 2.03462631115 1.68103029788 1.90245763443 1.34285049591 1.85257235067 1.74892182156 2.26017622659 1.23383975722 2.14176171587 1.79401928175 1.36545184101 nan nan nan,0.704342546805 0.633730073536 0.621672083935 0.645709820172 0.773042786429 0.745052690921 0.931572198585 0.670774099553 0.731626694821 0.752910714162 0.584659518754 0.663610588307 0.955717549043 0.726511475572 0.520548823153 0.768421020012 0.652475186477 0.723622413705 0.520622317825 0.723969173484 0.66325249878 0.873898851565 0.475007218247 0.843396168945 0.706631807132 0.513846502039 nan nan nan,1.0
579,56.0 47.0 37.0 27.0 17.0 8.0,84.0 84.0 84.0 84.0 84.0 84.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.216003 0.357515 0.215483 0.208659 0.210579 0.418742,3.5 1.5 5.5 5.0 6.5 -1.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.555 0.875 0.658333 0.695 0.928333 0.768333,-18.5 -16.0 -18.0 -19.5 -18.5 -15.5,1.75 6.0 7.6875 5.0 2.5 -2.0625,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
580,57.0,37.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,999.0,2.0,-99900.0,0.671667,-99900.0,-2.6875,nan,nan,nan,0.0
581,60.0 11.0 6.0 2.0,56.0 82.0 82.0 82.0,9.0 15.5 15.0 20.0,-99900.0 6.5 13.0 9.0,8.0 1.0 1.0 1.0,0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,999.0 0.910425 1.0 1.0,3.5 12.5 6.5 6.0,-99900.0 12.5 6.5 6.0,1.05167 0.991667 1.05167 1.04833,-7.5 2.5 2.0 3.0,7.9375 -0.1875 -0.125 0.5625,nan -13.0015601888 nan nan,nan 1.48267042954 nan nan,nan 0.586948510187 nan nan,0.0
582,15.0,21.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,999.0,8.0,-99900.0,1.05167,-99901.0,7.9375,nan,nan,nan,0.0
583,48.0 39.0,81.0 81.0,-99900.0 -99900.0,-99900.0 -99900.0,8.0 8.0,0.0 0.0,0.0 0.0,-99900.0 -99900.0,-99900.0 -99900.0,999.0 999.0,-3.0 0.5,-99900.0 -99900.0,0.738333 0.668333,-6.0 -11.5,-0.4375 1.1875,nan nan,nan nan,nan nan,0.0
584,6.0 1.0 1.0 9.0 6.0 2.0,30.0 30.0 60.0 66.0 66.0 66.0,-99900.0 -99900.0 -99900.0 17.0 13.5 25.5,-99900.0 -99900.0 -99900.0 -99900.0 23.5 19.5,8.0 8.0 8.0 9.0 11.0 9.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 0.872167 0.337251 0.919039,19.5 14.0 17.0 17.0 13.5 25.5,-99900.0 -99900.0 -99900.0 17.0 13.5 25.5,0.971667 1.05167 1.05167 1.02833 1.05167 0.991667,-99901.0 -99900.0 -99901.0 -99901.0 -99900.0 7.0,2.0625 1.25 0.125 1.3125 5.875 0.4375,nan nan nan -13.1394879279 nan -10.5432576636,nan nan nan 2.09632535892 nan 1.73862595329,nan nan nan 0.812436045053 nan 0.660066220479,0.0
585,52.0 42.0 32.0 22.0 13.0 3.0,49.0 49.0 49.0 49.0 49.0 49.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 999.0 999.0 999.0 999.0 999.0,-21.5 16.5 25.5 -3.0 13.0 -10.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.458333 0.971667 0.931667 0.955 0.965 0.945,-9.5 -8.0 10.0 -5.5 -4.0 -2.0,-4.0625 5.625 4.875 -3.3125 0.5 -3.6875,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
586,55.0 50.0 44.0 39.0 34.0 29.0 24.0 19.0 13.0 8.0 3.0,43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0 43.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 0.0347606 0.308144 0.0252832 0.0386315 0.0220864 0.0340049 0.0498064 0.0255017 0.054901 0.0172393,6.0 11.5 8.0 18.0 13.0 15.5 11.0 13.0 14.5 11.5 12.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.368333 0.711667 0.778333 0.865 0.898333 0.681667 0.851667 0.741667 0.715 0.731667 0.681667,-6.5 -3.5 -4.0 -7.5 -7.5 -4.5 -5.5 -3.0 -4.0 -4.5 -2.0,1.875 3.5 1.5 5.1875 4.4375 4.1875 1.9375 4.4375 3.1875 0.6875 3.625,nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan,nan nan nan nan nan nan nan nan nan nan nan,0.0
587,52.0 42.0 32.0 56.0 52.0 48.0 44.0 39.0 35.0 31.0 55.0 49.0,13.0 13.0 13.0 15.0 15.0 15.0 15.0 15.0 15.0 15.0 42.0 42.0,27.5 20.5 20.5 31.5 32.5 29.5 25.5 14.0 14.5 17.0 15.0 -99900.0,30.5 17.0 20.0 23.0 28.0 26.5 21.0 -99900.0 23.5 12.0 15.0 -99900.0,1.0 7.0 1.0 9.0 10.0 9.0 9.0 7.0 9.0 9.0 9.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,1.16487 0.0 0.420775 1.22421 1.78819 1.89999 0.262467 0.0 0.0 0.302858 0.0 0.0,1.16487 -99900.0 0.420775 1.14919 2.12898 2.33553 0.275453 -99900.0 -99900.0 0.258515 -99900.0 -99900.0,-2.60041 -99900.0 -9.42677 -1.75296 3.86528 4.89924 -1.35951 -99900.0 -99900.0 1.66987 -99900.0 -99900.0,0.954664 1.0 0.810037 0.964337 1.0 0.998334 0.999303 0.914808 0.923361 0.888555 0.958964 999.0,27.5 4.5 20.5 31.5 32.5 29.5 18.0 14.0 14.5 17.0 15.0 10.0,27.5 4.5 20.5 31.5 32.5 29.5 18.0 14.0 14.5 17.0 15.0 -99900.0,0.975 0.991667 0.991667 0.995 0.918333 0.981667 0.975 0.978333 1.01833 0.985 1.02167 0.921667,12.0 -8.5 9.5 -99901.0 -6.5 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99901.0 -99900.0,0.875 1.5 0.8125 1.25 1.9375 0.25 0.4375 0.6875 0.5 -0.125 -1.1875 -1.625,-10.4214000007 nan -11.9113663408 -9.75966146423 -9.9573562571 -9.46881486806 -12.2033824244 -13.3997141267 -13.1726037887 -12.0721682485 -11.8360902636 nan,1.92803876466 nan 1.85599132766 2.08230952615 2.32606243863 1.65144476631 1.68849655492 1.81249409382 1.79198169062 1.53139822433 1.27478302502 nan,0.736544745736 nan 0.713815377813 0.797804930446 0.924727771979 0.656704596582 0.677233842251 0.723094118768 0.704134652644 0.603425410061 0.482010277435 nan,0.5
588,24.0,73.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,0.15,11.5,-99900.0,-99903.0,-99903.0,-99903.0,nan,nan,nan,0.0
589,19.0,82.0,-99900.0,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,999.0,-12.0,-99900.0,1.05167,-99900.0,3.0,nan,nan,nan,0.0
590,60.0 54.0 37.0 31.0 25.0 19.0 7.0 1.0,23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0,-99900.0 17.0 -99900.0 9.5 -99900.0 -99900.0 -99900.0 12.5,-99900.0 7.0 -99900.0 -99900.0 6.0 16.5 -99900.0 -99900.0,8.0 1.0 8.0 1.0 8.0 1.0 8.0 1.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.368595 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 0.368595 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -4.16426e-05 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.581865 0.882343 999.0 0.584319 0.265288 0.371275 0.452137 0.743514,9.0 17.0 7.0 9.5 12.0 12.0 11.0 12.5,-99900.0 17.0 -99900.0 9.5 -99900.0 -99900.0 -99900.0 12.5,0.965 0.988333 1.05167 1.05167 0.931667 0.985 1.04833 0.945,-8.5 -6.0 -99900.0 -6.5 -6.5 -7.0 -6.5 -5.5,0.4375 -0.5625 0.75 -0.0625 1.0625 0.1875 -0.375 1.0625,nan -11.7241403172 nan -13.6245762178 nan nan nan -14.0611771589,nan 1.40995005538 nan 1.51288919737 nan nan nan 2.00491066008,nan 0.543987504027 nan 0.598789668652 nan nan nan 0.799536197716,0.0
591,16.0,54.0,-6.5,-99900.0,8.0,0.0,0.0,-99900.0,-99900.0,999.0,-6.5,-99900.0,1.05167,-10.0,-1.125,nan,nan,nan,0.0
592,61.0 51.0 42.0 32.0 22.0 13.0 3.0,88.0 88.0 88.0 88.0 88.0 88.0 88.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.15 0.0411868 0.111476 0.248022 0.0711629 0.149172 0.109976,4.0 -0.5 4.0 6.0 13.5 13.5 17.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,1.05167 -99900.0 0.215 0.795 0.885 0.901667 0.911667,-6.0 -6.0 -7.0 -6.0 -5.0 -5.0 -5.0,7.9375 -99900.0 7.9375 7.9375 7.9375 7.9375 7.9375,nan nan nan nan nan nan nan,nan nan nan nan nan nan nan,nan nan nan nan nan nan nan,0.0
593,58.0 48.0 39.0 29.0 47.0 41.0 35.0 39.0,20.0 20.0 20.0 20.0 95.0 95.0 95.0 16.0,18.5 19.0 14.5 13.0 10.0 23.0 13.5 10.0,18.0 16.0 13.0 12.0 -99900.0 -99900.0 -99900.0 -99900.0,9.0 9.0 8.0 8.0 8.0 4.0 9.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.306953 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 0.306953 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 1.20725 -99900.0 -99900.0,999.0 999.0 999.0 999.0 0.659985 1.0 1.0 0.893902,18.5 19.0 14.5 13.0 15.0 23.0 13.5 13.0,18.5 19.0 14.5 13.0 -99900.0 23.0 13.5 -99900.0,-99903.0 -99903.0 -99903.0 -99903.0 1.015 0.995 1.00833 1.05167,-99903.0 -99903.0 -99903.0 -99903.0 -4.5 -7.0 -4.0 -99900.0,-99903.0 -99903.0 -99903.0 -99903.0 2.6875 1.125 0.1875 0.5625,nan nan nan nan nan -11.5742859925 -13.1073595499 nan,nan nan nan nan nan 1.95779940485 1.63669484241 nan,nan nan nan nan nan 0.777509974366 0.633382063612 nan,0.0
594,60.0 50.0 41.0 31.0 11.0 6.0,93.0 93.0 93.0 93.0 93.0 93.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0354873 0.104046 0.0519775 0.433145 999.0 999.0,-6.0 -7.5 -8.0 -4.5 -4.5 -4.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.768333 1.05167 0.835 1.05167 0.595 0.781667,-5.5 -5.0 -99900.0 -99901.0 -99900.0 -99900.0,3.0 1.4375 3.875 0.5625 0.5625 1.375,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.3
595,61.0 51.0 41.0 13.0,92.0 92.0 92.0 92.0,-99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0,0.188565 0.0185456 0.123469 0.0793244,10.0 2.0 7.5 4.5,-99900.0 -99900.0 -99900.0 -99900.0,0.791667 0.635 0.698333 0.835,-19.5 -99900.0 -16.0 -99900.0,-0.4375 2.5 3.875 -2.8125,nan nan nan nan,nan nan nan nan,nan nan nan nan,0.3
596,59.0 49.0 39.0 30.0 20.0 10.0,95.0 95.0 95.0 95.0 95.0 95.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0 0.0 0.0 0.0 0.0 0.0,-6.5 -5.0 -8.0 -6.0 -6.5 -5.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.938333 0.841667 1.05167 0.578333 0.765 0.365,-1.5 -2.0 -2.0 -1.5 -3.0 1.5,5.4375 2.0 3.875 -0.625 1.75 1.5,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
597,52.0 43.0 33.0 24.0 14.0 4.0,13.0 13.0 13.0 13.0 13.0 13.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.0741746 0.0526665 0.113952 0.048777 0.0546736 0.0321316,5.5 1.5 1.0 11.5 10.5 9.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.501667 0.688333 0.558333 0.501667 0.665 0.611667,2.0 -2.0 3.0 -1.0 -2.0 -2.0,3.0 -2.875 0.1875 0.75 0.125 4.125,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
598,54.0 44.0 34.0 25.0 15.0 5.0,8.0 8.0 8.0 8.0 8.0 8.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,8.0 8.0 8.0 8.0 8.0 8.0,0.0 0.0 0.0 0.0 0.0 0.0,0.0 0.0 0.0 0.0 0.0 0.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,999.0 999.0 999.0 999.0 999.0 999.0,25.0 19.0 20.0 17.5 25.0 14.5,-99900.0 -99900.0 -99900.0 -99900.0 -99900.0 -99900.0,0.795 0.821667 0.938333 0.815 0.368333 0.835,-12.0 -12.5 -13.0 -15.5 -11.0 17.0,2.875 5.5 5.8125 5.0625 -2.0 2.6875,nan nan nan nan nan nan,nan nan nan nan nan nan,nan nan nan nan nan nan,0.0
599,7.0 2.0,67.0 67.0,12.5 14.5,-99900.0 20.0,8.0 9.0,0.0 0.0,0.0 0.0,-99900.0 -99900.0,-99900.0 -99900.0,0.812386 0.943559,10.5 14.0,10.5 14.0,1.05167 1.05167,-99900.0 4.5,2.4375 -0.9375,-15.3998814882 -12.1370512402,2.5757029747 1.27740873124,1.05868099467 0.502681241559,0.0
